1597421811678912512,4487358,@iansflyingcirc @NewshubNZ ,"Confused, What, Really, No Words, Huh, Castle"
1597420644605779969,7988440,@MISSTAMMIE3895 @chromesthesia @TruthJustis4USA @laurenboebert OK Qanon loony ,"crazy, cuckoo, nuts"
1597420423435542529,4680558,"@pastorbzwane @CSLewisDaily Hello🙂FYI, you just need the RIGHT JW to teach you that NO religion comes within 1% of Jw's &amp; Pastor do the math. 😀It ALL starts w/Moses God ACTUAL Name in connection w/Exodos20:7, Deuteronomy4:2 which applies to ALL religions. 👍",spit
1597419903551623168,16007386,!!!!.!-!,"Super Mario, twerk, Dance"
1597418604370497536,oj7sLgfFkHQAAAAC,"@ColoradoEagles Make it so, Jean-Luc! ","make, it, so, jean, luc, picard"
1597418035933241345,8195049,In two words:  #Play Ball via @gifkeyboard,Play Ball
1597417503679926273,4680558,"@KREckertWrites Hello🙂FYI,you just need the RIGHT JW to teach you that NO religion comes within 1% of Jw's &amp; you do the math after 😀It ALL starts w/Moses God ACTUAL Name in connection w/Exodos20:7, Deuteronomy4:2 which applies to ALL religions 👍",spit
1597417016771547136,3985100,(｀°ω°´ﾉﾉ☆ﾊﾟﾁﾊﾟﾁﾊﾟﾁﾊﾟﾁ,"Citizen Kane, Orson Welles, Slow Clap, Applause, Applaud, Clap, Clapping, Excellent, Good Job, Great Job, Sarcastic"
1597416291434106881,12575675,@OzraeliAvi ,"The Crow, Brandon Lee, Scary, Serious"
1597415991814021120,4680558,"@nouveau_merbe @mavcatrn @markwillworship Hello🙂FYI, you just need the RIGHT JW to teach you that Jw's are real 100% Christians &amp; you do the math afterwards 😀It ALL starts w/Moses God ACTUAL Name in connection w/Exodos20:7, Deuteronomy4:2 which applies to ALL religions 👍",spit
1597415573008175104,ILLK8h2ZAOoAAAAM,@Lupin_Fanart Oh deary I can certainly hear it ,"world, ship"
1597414848849235969,16007386,!!!!+!!-!!!+!-!,"Super Mario, twerk, Dance"
1597413660728565760,4680558,"@Yellow_Dog1959 @markwillworship Hello🙂FYI,you just need the RIGHT JW to teach you that NO religion comes within 1% of Jw's &amp; you do the math after 😀It ALL starts w/Moses God ACTUAL Name in connection w/Exodos20:7, Deuteronomy4:2 which applies to ALL religions 👍",spit
1597411927160160256,dUNDLq5fdPgAAAAM,@KariLake ,"idiots, idiot"
1597410551654940672,EC0eeekRA1kAAAAC,democrat down under steering committee wayyyy down under ,"devils, satan"
1597410222410457089,5076155,"@tariqnasheed That figures! 🙄😤 She’s just another anti-Black swirling S🅰️Ⓜ️🅱️🅾️ Ⓜ️🅰️Ⓜ️Ⓜ️IE, who’s looking for any way to destroy Black Men through the left wing 🔵 of the propaganda arm of white supremacy! Straight cancel that c🦝🦝n beeeeeeeeyyyyyoooooooooottccchhh! ","New Jack City, Wesley Snipes, Nino Brown, Cancel That Bitch"
1597409742401712128,4680558,"@bowlboy28 Hello🙂FYI,you just need the RIGHT JW to teach you that NO religion comes within 1% of Jw's &amp; you do the math after 😀It ALL starts w/Moses God ACTUAL Name in connection w/Exodos20:7, Deuteronomy4:2 which applies to ALL religions 👍",spit
1597408527555112960,21323500,,"I Need You To Hold On, Justin Bieber, Hold On Song, I Need You To Be Strong, I Need You To Hang In There"
1597408493157625858,21323510,,"You Need The Connection But You Cant Get Close, Justin Bieber, Hold On Song, You Are Unable To Get Close, You Are Needy, You Need Human Connection"
1597408220536274944,18995571,,"Im So Lonely, Justin Bieber, lonely, Saturday Night Live, alone, singing, Just Me, nbc, snl"
1597407388038238208,HXWrXPJPONwAAAAM,@KariLake ,"mega, man, derp"
1597407103861239808,24628998,Yeaaah… funny how studies have replaced logic and common sense. Next experts like Dr. Iamscience will tell us studies prove cold weather doesn’t create the flu virus!   ,"Mighty Lancer Games, shock, shocking, Shock Face, Hand To Mouth, what, surprise, Surprised Face, Open Mouth"
1597406905772957697,7yVgEGUbn_cAAAAM,@davramdavram ,"jesus, rifle"
