1602766033038856194,18342362,@ksorbs ,"trump, Rudy, giuliani"
1602765936972308480,iSF-7ceti_0AAAAM,@AvrilSantana24 ,"spongebob, dry"
1602765805212549122,12664416,"Can't help it, this ⬇️ popped in my head when I seen this.  😂🤣 Click link. 😎😆 #davidduchovny ","gremlins, flasher, hello, pervert"
1602765257487036416,17801328,,"Water Wet, Breaking News, Water Is Wet, Perry White, Dc Comics"
1602764336933617674,eaeih2VCYyUAAAAM,@richk_says @keung @Yogapetz ,"medid, patrick, meditate"
1602764142141902848,15207563,@caroljsroth Tim Curry as Darkness in Legend ,"darkness, legend, Tim Curry"
1602763999249997824,16301332,@Inferno1623 ,"Lets Party, party, Happy Birthday, dance, shake"
1602763463243071488,5JvBIjIpJKMAAAAM,Buenas tardes ,"buenas, tardes, noble"
1602763375087276032,ly6JyeArjiYAAAAM,@Noi_briganti 👍👍👍,execution
1602763019712311296,CcOBdiVqeD8AAAAM,@GiuseppeConteIT ,"ermal, meta"
1602762410409881601,sL-MZg1r8QMAAAAM,@ToralezMario @nanduti @ArnoldoWiens @SantiPenap ,"happy, snoopy"
1602762341803696129,mH2vuKH-PZAAAAAM,@robertosaviano 🤣🤣🤣🖕🖕🖕,"ciao, tre"
1602762084026306560,BIkLzODMQtEAAAAM,@SusannaCeccardi @ManilaNuova ,"pooping, poop"
1602761819675717632,bht3ShAbCMAAAAAC,WHY WOULD THEY PUT THIS IN THE RBB VIDEO 😭😭😭  ,"sabrinabrite, rickroll"
1602761748095778816,17580361,@lesstenny ,"ginger, Get The Popcorn, Ginger Popcorn, popcorn, West Wing, Eating Popcorn"
1602761654365609984,VEp7Cro0xugAAAAM,@marcell16895275 ,"thats, right, exactly"
1602761561642262534,olnkZI1dcQQAAAAM,@Kocobe @lemondefr @pixelsfr les.. quoi? ,"arrested, development, david, cross"
1602761519028125697,0ePsDl_ryCsAAAAM,@marcell16895275 ,"putin, laughing"
1602761233153011713,pflkYpC1zE8AAAAM,@Nina6_15 ,"costume, cow"
1602761181135265792,3572574,Cállese viejo lesbiano @FelipeCalderon ,"cheers, drink, Cheers To That, drinking"
1602761175313240064,3572574,Cállese viejo lesbiano @FelipeCalderon ,"cheers, drink, Cheers To That, drinking"
1602760820726767617,CcOBdiVqeD8AAAAM,@ItaliaViva @matteorenzi ,"ermal, meta"
1602760639109373955,rGjpGOXVxw4AAAAM,@Virna25marzo 🤣🤣🤣,"biff, tannen, si, certo"
1602759442772250625,23555036,@EuphoriTori ,"cooper, jinx, bigfootjinx, Im Still Amazed By It, cat, 3d Cat, 3d Cooper, Spinning Cat, roblox"
1602758642918457345,9958661,@Naija_PR None of the above. ,"Nazo, Hip Hop, Big Daddy, Hippopotamus, Learning To Read, Rob Schneider, Adam Sandler"
1602758443118768129,BIkLzODMQtEAAAAM,@AlessandraOdri ,"pooping, poop"
1602757303215820801,pflkYpC1zE8AAAAM,@stopcensura2020 ,"costume, cow"
1602756940064514050,raE-RWpe0p0AAAAM,@husker.lens help me Out to find more pengs on #lens please 😊  ,"love, space"
1602755873801134084,0kwriF_YaXQAAAAM,@Serkan_Sweden @RichardJomshof @RSorman1 @anderslindberg ,"crying, baby"
1602755841727336448,26418639,She is the happiest woman in the world. She met Tom Hanks. ,"shh, secret"
1602755802757931008,BIkLzODMQtEAAAAM,@GiocatorePerTE 💩💩💩,"pooping, poop"
1602755655110041600,ittyAaQdOwIAAAAM,@itsmeback_ ,"viperissima, alfonso, signorini"
1602755356576415744,23605339,@MalevolentCast @Gardettos ,"politics, Hamilton, Can We Get Back To Politics"
1602755297679855618,0ePsDl_ryCsAAAAM,@Adriano72197026 ,"putin, laughing"
1602753938021048321,VEp7Cro0xugAAAAM,@HoaraBorselli 👍 👍 👍 ,"thats, right, exactly"
1602753008919400449,NrR8zsL3ZscAAAAM,@BobbyStauner @simonjamesjupp ,"hahaha, laugh"
1602751188230803458,25014576,,"Genshin Impact, Genshin Impact Pfp"
1602750443364536323,86URGAgnwDAAAAAC,@mymadworld1 ,"biggus, dickus"
1602749748234096643,OR7yGjgYZXAAAAAM,Antroposofia nazi...  ,"madagascar, alex"
1602749470910910468,bN0hO7r_M40AAAAM,@EnriquePenalosa ,"laughing, laughing, hysterically"
1602749086695706625,2ZNurSTj8cUAAAAM,"Vamos, vamos!!!! ","abrazar, lionel, messi"
1602747772444487681,5839183,@Rossmac212 ,"Bambi, Disney, slip, ice, slippy, deer, animated, cartoon"
1602747449826627584,3938170,#Futurama #Toad #Frog via @gifkeyboard,"Futurama, Toad, Frog, Mesmerized"
1602742077296705536,24225868,"Sam Elliott is such a treasure. His on-screen presence is pure masculinity, yet his power as an actor comes from his vulnerability and his ability to tap into raw human emotion.   ","crying, Shea Brennan, Sam Elliott, 1883, weeping, sobbing, grieving, Paramount Plus"
1602739313422180352,15498241,#Stung #Sprung #Scorpio μέσω του χρήστη @gifkeyboard,"Stung, Sprung, Scorpio, zodiac"
1602738832520126464,22424131,@Colo07070936 @SoniaLa41 @1070mirez @CFKArgentina Que vaya con el antifaz puesto ,"gwen, thief, sneaky, hide, gremlin, cartoon, mask, thieving, hiding, no, looking, Vossen, stealing, Shaking My Head, Shake Head, urchin, street, rat, racoon, drawing"
1602737557141274624,7749176,@Cobratate ,"bubbles, tpb, Glasses"
1602737482914824196,UPMtIhUsBOQAAAAM,@kazzaloveslife Spiders.. ,"spider, spiderman"
1602734067136532482,T9zalDqOvtMAAAAC,@MadScientistFF ,"the, polar, express, christmas"
1602733220851863556,ya85xetgT6QAAAAM,@dtrinciarelli @LaBombetta76 ,"stefanianobile, un, applauso, al, coglione"
1602731850509664256,19581551,"bung, bungbungbung ","PETTHEBUNGER, BUNGER, BUGSNAX"
